Date,Description,Debit Amt,Credit Amt,Balance
01-08-2024 Salary,Credit XYZ Pvt,,1935.3,6864.58
02-08-2024 Salary,Credit XYZ Pvt,,1652.61,8517.19
03-08-2024 IMPS,UPI Payment,,3886.08,4631.11
03-08-2024 Mobile,Recharge Via,,1648.72,6279.83
14-08-2024 Fuel,Purchase Debit,,3878.57,10158.4
17-08-2024 Electricity,Bill NEFT,,1963.11,12121.51
18-08-2024 Interest,Credit Saving,,596.72,11524.79
25-08-2024 Cheque,Deposit Local,,617.86,10906.93
27-08-2024 Fuel,Purchase Debit,,2650.96,13557.89
01-09-2024 Dining,Out Card,,656.42,14214.31
08-09-2024 Mobile,Recharge Via,,4150.96,10063.35
12-09-2024 Cheque,Deposit Local,,826.71,10890.06
16-09-2024 Fuel,Purchase Debit,,3148.44,14038.5
16-09-2024 Credit,Card Payment,,1629.34,12409.16
20-09-2024 NEFT,Transfer To ABC,,4275.77,16684.93
25-09-2024 Salary,Credit XYZ Pvt,,2507.17,19192.1
26-09-2024 IMPS,UPI Payment,,740.64,19932.74
03-10-2024 EMI,Auto Debit HDFC,,2516.44,22449.18
06-10-2024 Utility,Bill Payment,,4208.51,18240.67
07-10-2024 Service,Charge GST,,3593.89,21834.56
09-10-2024 Cash,Deposit Branch,,3215.04,25049.6
12-10-2024 IMPS,UPI Payment,,4098.72,29148.32
15-10-2024 UPI,QR Payment,,3713.69,25434.63
22-10-2024 Salary,Credit XYZ Pvt,,4182.2,21252.43
23-10-2024 UPI,QR Payment,,3615.84,17636.59
26-10-2024 EMI,Auto Debit HDFC,,1006.21,16630.38
04-11-2024 Service,Charge GST,,756.93,15873.45
04-11-2024 Cash,Deposit Branch,,622.18,16495.63
06-11-2024 Cash,Deposit Branch,,3777.56,12718.07
07-11-2024 Fuel,Purchase Debit,,2986.0,9732.07
11-11-2024 UPI,QR Payment,,3116.44,12848.51
14-11-2024 Utility,Bill Payment,,320.12,12528.39
14-11-2024 Electricity,Bill NEFT,,3079.38,15607.77
19-11-2024 NEFT,Transfer To ABC,,4925.74,10682.03
